hashtag,created_at,text,source,geo,user_id,user_location,user_followers,user_friends,retweet
hoyasaxa,2020-02-15 22:08:07,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,267209337,,4870,5256,95
hoyasaxa,2020-02-15 22:07:48,"b'RT @NYPost_Brazille: Georgetown, down to five scholarship players and without top two players, up 1 at the half at Butler. The Patrick Ewin\xe2\x80\xa6'",Twitter for iPhone,,55423950,Bronx NY ,2293,5001,12
hoyasaxa,2020-02-15 22:06:23,"b'RT @BIGEASTMBB: ""\xf0\x9d\x97\xaa\xf0\x9d\x97\xb2 \xf0\x9d\x97\xb7\xf0\x9d\x98\x82\xf0\x9d\x98\x80\xf0\x9d\x98\x81 \xf0\x9d\x97\xbd\xf0\x9d\x97\xb9\xf0\x9d\x97\xae\xf0\x9d\x98\x86\xf0\x9d\x97\xb2\xf0\x9d\x97\xb1. \xf0\x9d\x97\xa1\xf0\x9d\x97\xb2\xf0\x9d\x98\x85\xf0\x9d\x98\x81 \xf0\x9d\x97\xba\xf0\x9d\x97\xae\xf0\x9d\x97\xbb \xf0\x9d\x98\x82\xf0\x9d\x97\xbd.""\n\n@CoachEwing33 has @GeorgetownHoops ahead on the road and joined @TheAndyKatz at the half on\xe2\x80\xa6'",Twitter for iPhone,,59342982,,128088,2175,5
hoyasaxa,2020-02-15 22:05:34,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,2324134221,"Brooklyn, NY",2399,2330,60
hoyasaxa,2020-02-15 22:04:27,b'RT @BIGEASTMBB: Terrell Allen \xf0\x9f\x8e\xaf\n\n@GeorgetownHoops can feel it!\n\n#HoyaSaxa // #BIGEASThoops https://t.co/rYXEpMb3G1',Twitter for iPhone,,2762321595,,246,445,8
hoyasaxa,2020-02-15 22:04:08,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for Android,,308892843,"Wakefield, MA",1133,2000,95
hoyasaxa,2020-02-15 22:03:33,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for iPhone,,1090670119326568449,"Washington, DC",84,449,95
hoyasaxa,2020-02-15 22:03:12,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,354631186,The OC part of LA County,2371,4997,60
hoyasaxa,2020-02-15 22:02:22,"b'RT @GeorgetownHoops: HOYAS WIN!! HOYAS WIN!! HOYAS WIN!! The #Hoyas take down No. 19/20 Butler on the road, 73-66. \nAllen ties career high\xe2\x80\xa6'",Twitter for Android,,40623928,"Washington, DC",191,1028,95
hoyasaxa,2020-02-15 22:01:11,b'Huge win by @GeorgetownHoops !!! #hoyasaxa',Twitter Web App,,605325530,"Washington, DC",1382,207,0
hoyasaxa,2020-02-15 22:00:51,b'@Hoyas247 Love it!!! #hoyasaxa #wearegeorgetown',Twitter for Android,,40623928,"Washington, DC",191,1028,0
hoyasaxa,2020-02-15 22:00:36,b'Final\n\nHoyas looking for a comeback at 5:30 p.m. against Virginia\n\nFollow along at https://t.co/5a71cR04kn\xe2\x80\xa6 https://t.co/QeEUGimO4i',Box Out Sports,,249509752,"Washington, DC",10098,156,1
hoyasaxa,2020-02-15 21:59:41,"b'Heading into the final quarter, the #Hoyas lead UMBC 12-5. #HoyaSaxa #GATA https://t.co/mtHGmg0xFR'",Box Out Sports,,622264037,Cooper Field and TAC,12423,161,1
hoyasaxa,2020-02-15 21:58:47,"b'RT @NYPost_Brazille: Georgetown, down to five scholarship players and without top two players, up 1 at the half at Butler. The Patrick Ewin\xe2\x80\xa6'",Twitter for iPhone,,152034217,Jersey ,1313,396,12
hoyasaxa,2020-02-15 21:58:08,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for Android,,256799206,"Fairfax, VA",2144,4980,60
hoyasaxa,2020-02-15 21:54:36,b'@TylerAdams0 This was even better #hoyasaxa',Twitter for iPhone,,616545480,"Boston, MA",816,1147,0
hoyasaxa,2020-02-15 21:53:35,b'RT @EarlDosSantos: Patrick Ewing just schooled LaVall Jordan &amp; Butler at Hinkle Fieldhouse! \n\nBiggest win of the year for the @CoachEwing33\xe2\x80\xa6',Twitter for iPhone,,20293730,"Arlington, VA",844,783,11
hoyasaxa,2020-02-15 21:53:25,b'RT @EarlDosSantos: Patrick Ewing just schooled LaVall Jordan &amp; Butler at Hinkle Fieldhouse! \n\nBiggest win of the year for the @CoachEwing33\xe2\x80\xa6',Twitter for iPhone,,1360533049,The Hilltop ,4808,194,11
